a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Gangster Two Six,Latin Kings,,United States,,1,['Spanish Gangster Disciples'],3,"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts']"
Big Circle Gang,Tiny Rascal Gang,China,United States,False,1,['Ghost Shadows'],3,"['Bloods', 'Crips', 'East Side Longos']"
'Ndrina Cataldo,'Ndrina Costa,Italy,Italy,True,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]",1,"[""'Ndrina Cordì""]"
Boko Haram,Taliban,Nigeria,Afghanistan,False,3,"['Al-Qaeda', 'Al-Shabaab', 'Islamic State']",1,['Islamic State']
Almighty Black P. Stone Nation,Almighty Saints,United States,United States,True,1,['Latin Kings'],3,"['Black Gangster Disciples Nation', 'La Raza Nation', 'Maniac Latin Disciples']"
Rock Machine Motorcycle Club,Satan's Choice Motorcycle Club,Canada,Canada,True,3,"[""Devil's Disciples Motorcycle Club (Canada)"", 'Outlaws Motorcycle Club', 'West End Gang']",1,['Hells Angels Motorcycle Club']
Cártel de Caborca,Los Metros,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],3,"['Cártel del Noreste', 'Gulf Cartel', 'Sinaloa Cartel']"
Gangster Two Six,Satan Disciples,,,,1,['Spanish Gangster Disciples'],3,"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts']"
18th Street Gang,Cártel de Caborca,United States,Mexico,False,2,"['Juárez Cartel', 'Tijuana Cartel']",2,"['Gulf Cartel', 'Sinaloa Cartel']"
Pirus,United Blood Nation,United States,United States,True,2,"['Bloods', 'Sex Money Murder']",1,['Crips']
Guerreros Unidos,Logan Heights Gang,Mexico,United States,False,1,['Tijuana Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
La Línea,Los Lobos,Mexico,Ecuador,False,2,"['Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",1,['Sinaloa Cartel']
Cártel de Santa Rosa de Lima,Los Negros,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']"
18th Street Gang,People Nation,United States,United States,True,2,"['Latin Kings', 'Norteños']",1,['Crips']
Mara Salvatrucha,Menace of Destruction,United States,United States,True,2,"['Big Circle Gang', 'La Familia Michoacana']",1,['Tiny Rascal Gang']
Mara Salvatrucha,Venice 13,United States,United States,True,1,['Mexican Mafia'],2,"['18th Street Gang', 'Crips']"
D.C. Blacks,Nuestra Familia,United States,United States,True,1,['Black Guerrilla Family'],2,"['Aryan Brotherhood', 'Nazi Lowriders']"
Cártel de Tepalcatepec,La Nueva Familia Michoacana,Mexico,Mexico,True,2,"['Cárteles Unidos', 'Los Viagras']",1,['Cártel de Jalisco Nueva Generación']
Almighty Vice Lord Nation,Trinitarios,United States,United States,True,1,['Bloods'],2,"['Black Gangster Disciples Nation', 'Crips']"
Al-Qaeda in the Islamic Maghreb,Houthis,Algeria,Yemen,False,2,"['Al-Qaeda in the Arabian Peninsula', 'Al-Shabaab']",1,['Islamic State']
Los Negros,South Pacific Cartel,Mexico,Mexico,True,1,['Los Zetas'],2,"['Gulf Cartel', 'Sinaloa Cartel']"
